Taxonomy	Sample1	Sample10	Sample11	Sample12	Sample13	Sample14	Sample15	Sample16	Sample17	Sample18	Sample19	Sample2	Sample20	Sample21	Sample22	Sample23	Sample24	Sample25	Sample26	Sample27	Sample28	Sample29	Sample3	Sample30	Sample31	Sample32	Sample33	Sample34	Sample4	Sample5	Sample6	Sample7	Sample8	Sample9	Tax_detail
Pedobacter	0	0.00164880461665293	0	0.0263653483992467	0.0100603621730382	0	0	0	0	0	0	0	0	0	0	0	0.00603217158176944	0.00695581014729951	0	0	0.00571670548380267	0.00444818465977398	0	0	0	0	0	0	0	0	0.00154286973771214	0.0538582677165354	0.0143511450381679	0	k__Bacteria;p__Bacteroidetes;c__Sphingobacteriia;o__Sphingobacteriales;f__Sphingobacteriaceae;g__Pedobacter;
Roseburia	0.0189586870401811	0	0	0	0	0	0	0	0	0	0.0265010351966874	0.0145043398812243	0.0492140266021765	0.0326857847671909	0.0472242783123612	0	0	0	0	0.0242376856919468	0	0	0.0401413784397879	0	0	0	0	0	0.0321678321678322	0	0	0	0	0.0141766630316249	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Roseburia;
Anaerococcus	0	0.0387469084913438	0.0486985726280437	0.0131826741996234	0.0100603621730382	0	0	0	0	0	0	0	0	0	0	0.00136266303289858	0.0348525469168901	0.0474631751227496	0.0120221207020918	0	0.0448867245394876	0.0366674681413801	0	0.0135203309454142	0	0	0	0	0	0.0351010101010101	0.0379105135552127	0.0132283464566929	0.00916030534351145	0	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__[Tissierellaceae];g__Anaerococcus;
Alistipes	0	0	0	0	0	0	0	0	0	0	0.0173913043478261	0.000685244403837369	0.0339782345828295	0.0454825778600062	0.027979274611399	0	0	0	0	0.0242376856919468	0	0	0.000631153749053269	0	0	0	0	0	0.000508582326764145	0	0	0	0	0	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;
Streptobacillus	0	0.00741962077493817	0.00419815281276238	0.00847457627118644	0.0150905432595573	0	0	0	0	0	0	0	0	0	0	0	0.0167560321715818	0.00368248772504092	0	0	0.0454160491213212	0.00168309689829286	0	0.000403591968519826	0	0	0	0	0	0.0297979797979798	0.0110204981265153	0.0176377952755906	0.0152671755725191	0	k__Bacteria;p__Fusobacteria;c__Fusobacteriia;o__Fusobacteriales;f__Leptotrichiaceae;g__Streptobacillus;
Lactococcus	0	0	0.0285474391267842	0	0.00704225352112676	0	0	0	0	0	0	0	0	0	0	0	0.0449061662198391	0.0110474631751228	0	0	0.024243065847978	0.0119018994950709	0	0.00030269397638987	0	0	0	0	0	0.00252525252525253	0.0295349349790611	0	0.0067175572519084	0	k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Lactococcus;
Oscillospira	0.0128749292586304	0	0	0	0	0	0	0	0	0	0.0393374741200828	0.0155322064869804	0.0252720677146312	0.0407030527289547	0.029459659511473	0	0.00134048257372654	0	0	0.0437842064112588	0	0	0.0132542287301187	0	0	0	0	0	0.010680228862047	0.00252525252525253	0	0	0	0.00981461286804798	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Oscillospira;
Finegoldia	0	0.0140148392415499	0.0134340890008396	0	0	0	0	0	0	0	0.00151828847481021	0	0	0	0	0.00214132762312634	0.0288203753351206	0.0180032733224223	0.0105794662178408	0	0.0426635612957866	0.0121423419091128	0	0.00998890122086571	0	0	0	0	0	0.0181818181818182	0.00573065902578797	0.00440944881889764	0.00488549618320611	0	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__[Tissierellaceae];g__Finegoldia;
Janthinobacterium	0	0	0	0	0.0422535211267606	0	0	0	0	0	0	0	0	0	0	0	0.0180965147453083	0	0	0	0.0102688968875715	0.00180331810531378	0	0	0	0	0	0	0	0	0	0	0.00946564885496183	0	k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Oxalobacteraceae;g__Janthinobacterium;
Lautropia	0	0	0	0	0.00603621730382294	0	0	0	0.00281425891181989	0	0	0	0	0	0	0	0	0.00654664484451719	0.041356095215196	0	0.00190556849460089	0.0051695119018995	0	0.0190697205125618	0	0.00319210679048172	0.000830288940551312	0.000427046263345196	0	0.00353535353535354	0	0	0.0116030534351145	0	k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Lautropia;
