Accession	Nlevel	Rep	FW(g)	DW(g)	N%(N/DW)	TotalN(mgN/plant)	NUtE(gDW/gN)	E%(15N/N)	15N(ug15N/plant)	NUE(gDW/gappliedN)	NupE(ug15N/ugapplied15N*100%)	NupE/DW	RNAsamples	AppliedN(mg)
Stw-0	L	two	0.147	0.015	5.13363029	0.770044543	19.47939262	0.29002	2.233283185	3.77264	4.13571	275.714	No	3.976
Stw-0	L	three	0.311	0.034	5.160662123	1.754625122	19.37735849	1.077646667	18.90865914	12.782	35.016	1029.882353	Yes	2.66
Stw-0	L	three	0.165	0.019	4.017725258	0.763367799	24.88970588	0.615505	4.698566972	7.14286	8.70105	457.95	No	2.66
Stw-0	L	three	0.18	0.019	5.585023401	1.061154446	17.90502793	0.656515	6.966638112	7.14286	12.9012	679.0105263	No	2.66
Stw-0	L	three	0.13	0.018	5.421052632	0.975789474	18.44660194	0.643735	6.281498368	6.76692	11.6324	646.2444444	No	2.66
Stw-0	L	three	0.117	0.017	5.3125	0.903125	18.82352941	0.347425	3.137682031	6.39098	5.81052	341.7952941	No	2.66
Stw-0	L	three	0.089	0.011	4.387464387	0.482621083	22.79220779	0.603976667	2.914918727	4.13534	5.398	490.7272727	Yes	2.66
Tsu-0	H	one	0.934	0.095	5.41876892	5.147830474	18.45437616	0.175036667	9.010590868	6.11326	4.29076	45.16589474	Yes	15.54
Tsu-0	H	one	0.546	0.055	5.663930468	3.115161758	17.65558397	0.323846667	10.08834751	3.53925	4.80398	87.34509091	No	15.54
Tsu-0	H	one	0.537	0.053	5.446853517	2.886832364	18.3592233	0.492386667	14.21437765	3.41055	6.76875	127.7122642	Yes	15.54
Tsu-0	H	one	0.483	0.046	5.849056604	2.690566038	17.09677419	0.184886667	4.974497862	2.9601	2.36881	51.49586957	No	15.54
Tsu-0	H	one	0.42	0.044	5.361484325	2.359053103	18.65155131	0.301376667	7.109635607	2.8314	3.38554	76.94409091	No	15.54
